date,base_currency,currency,rate
2026-08-17,INR,IDR,186.34
2026-08-17,INR,KRW,14.7675
2026-08-17,INR,HUF,3.2653
2026-08-17,INR,JPY,1.6654
2026-08-17,INR,ISK,1.2829
2026-08-17,INR,PHP,0.64333
2026-08-17,INR,TRY,0.50102
2026-08-17,INR,THB,0.34542
2026-08-17,INR,CZK,0.21834
2026-08-17,INR,MXN,0.1779
2026-08-17,INR,ZAR,0.1692
2026-08-17,INR,SEK,0.09925
2026-08-17,INR,NOK,0.09855
2026-08-17,INR,HKD,0.08206
2026-08-17,INR,CNY,0.07049
2026-08-17,INR,DKK,0.06745
2026-08-17,INR,BRL,0.05449
2026-08-17,INR,RON,0.04727
2026-08-17,INR,MYR,0.04249
2026-08-17,INR,PLN,0.03885
2026-08-17,INR,ILS,0.03087
2026-08-17,INR,NZD,0.01768
2026-08-17,INR,AUD,0.01468
2026-08-17,INR,CAD,0.0145
2026-08-17,INR,SGD,0.01335
2026-08-17,INR,USD,0.01046
2026-08-17,INR,EUR,0.00902
2026-08-17,INR,CHF,0.00847
2026-08-17,INR,GBP,0.00771
